Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian,,
3/20/18 20:30,Billerica,MA,Circle,30 minutes,"Unidentified object in the sky above Billerica, hovering before moving left and right and hovering again. Light was red but changed mes",3/23/18,3/20/18,8:30:00,PM,,
3/18/18 22:00,Fayetteville,GA,Circle,10 seconds,Circular craft with beaming lights on top seen hovering over Atlanta area,3/23/18,3/18/18,10:00:00,PM,,
3/18/18 20:30,Largo,FL,Circle,10 seconds,"Saw two red balls, one on top of the other.. Then the bottom red ball disappeared into the top one.",3/23/18,3/18/18,8:30:00,PM,,
3/13/18 7:00,Utica,NY,Circle,1 minute,Black Orb Behind Chopper Before Crash Recorded From NBC News.,3/23/18,3/13/18,7:00:00,AM,,
3/12/18 22:55,Beechcreek,KY,Circle,2 minutes,Facing W hor. @ 22:55 on 03/12/18.thought i saw really bright star. after about 30 seconds object started dimming.((anonymous report)),3/23/18,3/12/18,10:55:00,PM,,
3/12/18 16:00,Pueblo West,CO,Circle,1 minute,I have been watching documentaries and studying on the subject of U.F.O.,3/23/18,3/12/18,4:00:00,PM,,
3/11/18 21:00,Chuluota,FL,Circle,3 minutes,4 orange balls in single line going from east to west. No sound.,3/23/18,3/11/18,9:00:00,PM,,
3/11/18 16:15,Tampa,FL,Circle,7 seconds,We were at Wheedon Island Preserve in the Tampa/St. Petersburg area. I looked up into the clear blue sky admiring the nice day at appr,3/23/18,3/11/18,4:15:00,PM,,
3/11/18 10:40,Waltham (west of),MA,Circle,2 hours +,Large Circle with what looked like fast moving lights orbiting,3/23/18,3/11/18,10:40:00,AM,,
3/5/18 21:50,Fairfield View,CT,Circle,10 minutes so far,"We're looking SW, far into the sky; trying to determine if this is a star or a craft. ((NUFORC Note: Sirius? PD))",3/8/18,3/5/18,9:50:00,PM,,
3/5/18 21:50,Fairfield view,CT,Circle,10 minutes so far,"We're looking SW, far into the sky; trying to determine if this is a star or a craft. ((NUFORC Note: Sirius? PD))",3/8/18,3/5/18,9:50:00,PM,,
3/4/18 20:45,Irvington,AL,Circle,2 minutes,Driving and seen a large moon shaped object with orange lights floating over a field.it seemed to come closer to us Myself and my child,3/8/18,3/4/18,8:45:00,PM,,
3/4/18 19:00,Sioux Falls,SD,Circle,1 hour,4 lights in a pattern. 4 lights that expanded and come back to center. ((NUFORC Note: Advertising lights?? PD)),3/8/18,3/4/18,7:00:00,PM,,
3/4/18 0:00,Tarboro,NC,Circle,10 minutes,I video taped it.,3/23/18,3/4/18,12:00:00,AM,,
3/3/18 19:15,Charlotte,NC,Circle,1 minute,"Saturday night, I saw a staggered line of 15 or 20 large round orange balls flying over my backyard with no sound.",3/8/18,3/3/18,7:15:00,PM,,
3/2/18 22:47,Lone Jack,MO,Circle,4 seconds,"I observed a round lighted object start overhead, then race extremely fast to the northern horizon. Object was much too quick to be co",3/8/18,3/2/18,10:47:00,PM,,
3/2/18 22:30,Cotopaxi,CO,Circle,<5 minutes,"These were orange balls of light in the eastern sky, that became much brighter then completely blinked out.",3/23/18,3/2/18,10:30:00,PM,,
3/2/18 1:00,Colquitt,GA,Circle,2 hours,A circular object with red white and blue lights vibrating in a unpredictable pattern,3/8/18,3/2/18,1:00:00,AM,,
3/2/18,Lutherville-Timonium,MD,Circle,50 minutes,Two times in the past week and a half I’ve seen the same thing. The first time was a full non. We had a terrible wind storm. Last Frida,3/23/18,3/2/18,,,,
2/27/18 19:00,Escondido,CA,Circle,2-3 minutes,"I went outside and waited for my grandfather and mother to drive to the store. I gazed up into the sky, and saw a moving orange ball li",3/2/18,2/27/18,7:00:00,PM,,
2/26/18 15:00,Greeley,CO,Circle,As long as it took me to,"White ball shaped object suspended in sky 250ft up. During daylight, not moving or tethered to anything.",3/2/18,2/26/18,3:00:00,PM,,
2/25/18 10:20,PyeongChang (South Korea),,Circle,3 seconds,"Long, small, fast.",3/23/18,2/25/18,10:20:00,AM,,
2/25/18 0:18,Boston,MA,Circle,2.5 seconds,Bright light heading east at a rapid rate of speed originally thought it was a crashing aircraft but there were no reports of such even,3/2/18,2/25/18,12:18:00,AM,,
2/19/18 7:20,Southbury/Watertown,CT,Circle,30 seconds,"Driving east bound on I-84 in Southbury, noticed odd oval shaped white object traversing the sky, distance unknown.",2/22/18,2/19/18,7:20:00,AM,,
2/18/18 17:47,Fort Collins,CO,Circle,2-3 minutes,"50-60 bright white circular lights, with 10-12 evenly spaced vertically on each of 5 evenly spaced ""towers"" (variable flashing",2/22/18,2/18/18,5:47:00,PM,,
2/18/18 11:30,Westbury,NY,Circle,30 minutes +,It appeared over the house Across from my boyfriends.... bright red with bright lights in the center and around the bottom and it seem,2/22/18,2/18/18,11:30:00,AM,,
2/17/18 19:20,Colorado Springs,CO,Circle,5 minutes,"Red lights forming circle not moving, then blinked white orb, then moved very fast east to west behind the mountain range.",2/22/18,2/17/18,7:20:00,PM,,
2/17/18 16:30,Elk Grove,CA,Circle,20 minutes,A group of 11 white orbs moving across the sky in formation staying the same distance away from each other. ((no contact information)),2/22/18,2/17/18,4:30:00,PM,,
2/12/18 21:00,Pico Rivera,CA,Circle,3 minutes,While standing behind my house I took the following video with my cell phone. ((anonymous report)),2/16/18,2/12/18,9:00:00,PM,,
2/12/18 21:00,Pico Rivera,CA,Circle,3 minutes,Yellowish orange circle with a cube inside.,2/16/18,2/12/18,9:00:00,PM,,
2/9/18 18:00,Roanoke Rapids,NC,Circle,10-15 minutes,Three bright lights surrounded by four to five small red lights flying independently Roanoke Rapids North Carolina,2/16/18,2/9/18,6:00:00,PM,,
2/7/18 0:00,Mesa,AZ,Circle,5 minutes,3 symmetrical bright orange orbs,2/16/18,2/7/18,12:00:00,AM,,
2/6/18 20:50,Livingston,CA,Circle,5 seconds,It was a white flashing light then it turned green then the green light fell straight down Green to the ground almost and then just dis,2/16/18,2/6/18,8:50:00,PM,,
2/5/18 18:40,Columbus,OH,Circle,10 seconds,"On 2/5/18 at 6:40pm,my wife and I went out to watch the ISS fly by. It was going to be a straight over head fly by. When we w",2/22/18,2/5/18,6:40:00,PM,,
2/5/18 6:55,Fort Worth,TX,Circle,20 seconds,Bluish white bright object flying in a NE direction near Granbury Road and Interstate 20,2/16/18,2/5/18,6:55:00,AM,,
2/4/18 7:35,Williston,FL,Circle,2 minutes,I saw a metal stationary object to my North West at about 11 o'clock directly over the commercial flight line.I watched it for about 1,2/16/18,2/4/18,7:35:00,AM,,
1/30/18 12:00,Bryceville,FL,Circle,1.5 hours,"Two bright white orbs in the noon sky in north east Florida, observed from two different city's.",2/16/18,1/30/18,12:00:00,PM,,
1/29/18 22:00,Holdingford,MN,Circle,5-10 minutes,Orange UFO buzzed by jet,2/16/18,1/29/18,10:00:00,PM,,
1/29/18 3:00,Pella,IA,Circle,,Was a bright ball of light that just hoovering for a good few hours and as the it got darker it changed from bright to an Orange reddis,2/16/18,1/29/18,3:00:00,AM,,
