Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian
3/19/18 22:15,Hillsboro,OR,Fireball,67 seconds,"I was in my boyfriend's car with two of our friends. My boyfriend yells, “get out of the car! Look!. We got out and saw three “fireball",3/23/18,3/19/18,10:15:00,PM
3/6/18 22:30,Tulsa,OK,Fireball,2 minutes,Was outside to smoke my final cigarette of the evening and noticed a low flying craft with no sound travelling northeast in the night,3/8/18,3/6/18,10:30:00,PM
3/6/18 0:30,Jupiter,FL,Fireball,1 minute,"Long red fireball propelling into sky, disappeared",3/8/18,3/6/18,12:30:00,AM
3/5/18 19:48,Cape Coral,FL,Fireball,3 minutes,"A row of five or more balls of fire looking objects moving steadily towards the East in Cape Coral, Florida.",3/8/18,3/5/18,7:48:00,PM
2/28/18 19:30,Arpin,WI,Fireball,5 seconds,Two syncronized balls of light.,3/2/18,2/28/18,7:30:00,PM
2/27/18 21:00,Jackson,SC,Fireball,Seconds,Saw 3 fireball color objects first 1 than 2nd to right side of first one then 3rd below. Went out at same time. ((anonymous report)),3/2/18,2/27/18,9:00:00,PM
2/27/18 17:00,Norfolk,VA,Fireball,4 minutes,"UFO fireball very low flying, very fast, silent",3/2/18,2/27/18,5:00:00,PM
2/27/18 0:00,Yakima,WA,Fireball,14 nights,The first page of this report was submitted on 02/12/18 but I have been observing the lights for an additional two weeks.,3/2/18,2/27/18,12:00:00,AM
2/25/18 21:30,Clermont,FL,Fireball,45 seconds,"Two very bright, reddish-orange balls with no glare and no sound were travelling together going east then a third came from the north a",3/2/18,2/25/18,9:30:00,PM
2/17/18 21:30,Jacksonville,FL,Fireball,5 minutes,Triangular formation of 5 extremely bright balls of light hovering in place in the sky.,2/22/18,2/17/18,9:30:00,PM
2/17/18 21:00,Thatcher,AZ,Fireball,10 minutes,3 Orangish fireball coming from north to south just above treeline hover a minute and take off to the east at a high rate of speed,2/22/18,2/17/18,9:00:00,PM
2/17/18 19:55,Lacombe,LA,Fireball,5 minutes,Amorphous flaming object flying across the sky,2/22/18,2/17/18,7:55:00,PM
2/16/18 23:45,Romeo,MI,Fireball,3 minutes,Noticed a huge white Chemtrail being made from West to East. Then I looked up to the East and saw 5 jets. ((anonymous report)),2/22/18,2/16/18,11:45:00,PM
2/15/18 19:20,Susanville,CA,Fireball,2 seconds,"Observed what appeared as an 'airborne-flame', very similar in appearance to a typical fireplace, or barbeque flame.((anonymous rept.))",2/16/18,2/15/18,7:20:00,PM
2/14/18 21:30,Port Angeles,WA,Fireball,<5-10 seconds,2 objects seen in sky appearing to enter atmosphere. ((NUFORC Note: Possible space debris. See other reports from OR. PD)),2/22/18,2/14/18,9:30:00,PM
2/14/18 21:20,Portland,OR,Fireball,15 seconds,Burning dual ufos? ((no contact information)),2/16/18,2/14/18,9:20:00,PM
2/13/18 23:42,Lehigh Acres,FL,Fireball,4 seconds,Was traveling `NW on FL state highway 82 when a green streak of a flash appeared from the sky and moved like an arch towards the north.,2/16/18,2/13/18,11:42:00,PM
2/12/18 18:45,Eugene,OR,Fireball,3 seconds,"02/12/2018 Fireball seen in evening sky from Eugene, Oregon.",2/16/18,2/12/18,6:45:00,PM
2/9/18 19:25,Tucson,AZ,Fireball,30 seconds,"Four orange fireballs traveling together , fly over the house",2/16/18,2/9/18,7:25:00,PM
2/6/18 18:30,Boise,ID,Fireball,25 minutes,Comet-like UFO. ((NUFORC Note: Re-entering space debris?? PD)),2/16/18,2/6/18,6:30:00,PM
2/6/18 16:31,San Diego,CA,Fireball,30 seconds,Literally seen a floating cloud with a flying disc glowing brighter and brighter leaving a trail throughout the sky.,2/16/18,2/6/18,4:31:00,PM
2/1/18 18:40,San Diego,CA,Fireball,1 minute,2 Strange bright zig zagging lights in San Diego sky on 02/01/18 at 1840 hours.,2/16/18,2/1/18,6:40:00,PM
1/28/18 23:10,Phoenix,AZ,Fireball,2 minutes,The object was heading south towards central Phoenix. It was glowing bright red. And only four stores high in the air. When the object,2/16/18,1/28/18,11:10:00,PM
1/24/18 19:05,Keswick (Canada),ON,Fireball,30 seconds,Out for a walk after dinner. Heavy energy. Cold night but no wind. Very still and quiet air/evening. Mom walked ahead with dog. I sense,2/16/18,1/24/18,7:05:00,PM
1/24/18 18:15,Georgetown,SC,Fireball,2 minutes,3 orange fireballs. ((anonymous report)),1/25/18,1/24/18,6:15:00,PM
1/24/18 1:00,Dana Point,CA,Fireball,5 minutes,"Bright orange fireball in Dana Point, CA, chased by jets.",1/25/18,1/24/18,1:00:00,AM
1/15/18 19:40,Gulfport,MS,Fireball,3 minutes,I have video of two of them.,1/16/18,1/15/18,7:40:00,PM
1/8/18 15:00,Robertsdale,PA,Fireball,30 second,Was walking home from school looked up and saw 3 red dots almost like fireballs,1/12/18,1/8/18,3:00:00,PM
1/6/18 22:00,Logan,UT,Fireball,90 second,We spotted a strange firey light low in the sky that almost looked like an airplane that was on fire. My husband thought it was a meteo,1/12/18,1/6/18,10:00:00,PM
1/1/18 14:46,Moss Beach,CA,Fireball,1 minute,Green Light in Sky at Moss Beach.,1/12/18,1/1/18,2:46:00,PM
1/1/18 6:45,Fraser,MI,Fireball,8 seconds,sphere of fire flew over Fraser Michigan,1/12/18,1/1/18,6:45:00,AM
1/1/18 0:15,Meriden,CT,Fireball,15,((NUFORC Note: Witness provides no information about the sighting. PD)),1/12/18,1/1/18,12:15:00,AM
1/1/18 0:10,Stanwood,WA,Fireball,20-25 minutes,Shortly after midnight new years eve at about 00:10 I noticed an orange orb moving Out of the north north east at low altitude. It was,1/12/18,1/1/18,12:10:00,AM
1/1/18 0:02,Spokane Valley,WA,Fireball,10 minutes,I saw one floating orb while facing north. Thought nothing of it its new years thought it might be helicopter but no noise was heard a,1/12/18,1/1/18,12:02:00,AM
12/31/17 22:00,Jupiter,FL,Fireball,5 minutes,"Between 10:15 – 10:20 Two orange balls of light, in the west sky, possibly over Lake Okeechobee.

I witnessed the first light and as",1/12/18,12/31/17,10:00:00,PM
12/29/17 23:00,Broken Arrow,OK,Fireball,5-8 minutes,2 fireball type objects… One cruised through the sky and then a second one appeared cruised by. ((anonymous report)),1/12/18,12/29/17,11:00:00,PM
12/29/17 22:00,Stroudsburg,PA,Fireball,4 minutes,Slow Yellow lights turning into fireballs moving at extreme speed across the sky,1/12/18,12/29/17,10:00:00,PM
12/29/17 17:32,Litchville,ND,Fireball,2-3 minutes,Bright Burning Fire Ball Very Large Black Dark Contrail leaving our space.,2/16/18,12/29/17,5:32:00,PM
12/28/17 23:00,Eagle,CO,Fireball,60 seconds+,"I live in Eagle, CO. 12 miles East of Eagle-Vail airport. Eagle, CO. is 6600 ft above sea level. My living room faces N.E. and is on th",1/12/18,12/28/17,11:00:00,PM
