Date / Time,City,State,Shape,Duration,Summary,Posted,Date,Time,Meridian,Month,Day,Year
9/22/16 21:30,Glenside,PA,Triangle,2 minutes,I just know something hovered by tonight over the top of our car that I cannot fully explain and unidentified.,9/30/16,9/22/16,9:30:00,PM,9,22,2016
9/22/16 20:30,Temecula,CA,Triangle,30 seconds,Triangle shaped UFO in the sky moving around! ((anonymous report)),9/30/16,9/22/16,8:30:00,PM,9,22,2016
9/22/16 19:00,Woonsocket,RI,Circle,30 seconds,Red flashing object.,9/30/16,9/22/16,7:00:00,PM,9,22,2016
9/22/16 12:15,Cincinnati,OH,Fireball,7 seconds,Large round light falls from sky then is later seen standing still.,9/22/16,9/22/16,12:15:00,PM,9,22,2016
9/21/16 23:37,Oak Ridge,TN,Circle,2 hours,"Strange lights in Oak Ridge, Tennessee. ((NUFORC Note: Sighting of the star, Sirius. PD))",9/22/16,9/21/16,11:37:00,PM,9,21,2016
9/21/16 21:50,Wilmington,MA,Circle,5 seconds,glowing green orb of light that shot across the sky and dissapeared,9/22/16,9/21/16,9:50:00,PM,9,21,2016
9/21/16 21:45,Lowell,MA,Fireball,1 second,"I saw large green shooting star/fireball. It had a long green tail. It was going really fast, from east to west, from high to low. I",9/22/16,9/21/16,9:45:00,PM,9,21,2016
9/21/16 21:42,Nashua,NH,Fireball,15 seconds,Emerald green fireball shooting across sky,9/22/16,9/21/16,9:42:00,PM,9,21,2016
9/21/16 18:00,Beaverton,OR,Circle,5 seconds,Bright blue ball of light! ((anonymous report)),9/22/16,9/21/16,6:00:00,PM,9,21,2016
9/21/16 5:16,Newport Beach,CA,Fireball,5 minutes,"Three fireball objects seen by witnesses fading in and out of view over the ocean. Location was off the coast from Newport Beach, CA.",9/22/16,9/21/16,5:16:00,AM,9,21,2016
9/21/16 5:16,Newport Beach,CA,Fireball,5 minutes,Three fireball objects seen by witnesses fading in and out of view over the ocean.,9/22/16,9/21/16,5:16:00,AM,9,21,2016
9/21/16 4:23,Shelbyville,IN,Triangle,Til Daylight,Triangular blinking lights in the sky.,10/11/16,9/21/16,4:23:00,AM,9,21,2016
9/21/16 2:35,Tea,SD,Fireball,4 seconds,"Fireball observed north of Tea, SD.",9/22/16,9/21/16,2:35:00,AM,9,21,2016
9/20/16 21:00,Salt Lake City,UT,Triangle,10-15 minutes,"Kite formation, including tail, traveled S to N along Wasatch over Red Butte",9/22/16,9/20/16,9:00:00,PM,9,20,2016
9/20/16 19:09,Burnaby (Canada),BC,Circle,<10 seconds,"I was shooting the cloud of sunset by using my iPhone and iPad , finally I found it in my images. And it is pretty clear, bright,, yell",9/22/16,9/20/16,7:09:00,PM,9,20,2016
9/20/16 1:00,Stonington,CT,Circle,30+ minutes,The object I observed was not unlike stars in the night sky in regards to appearance; it was however brighter than any star I observed.,4/28/17,9/20/16,1:00:00,AM,9,20,2016
9/19/16 20:47,Jasper (looking west),GA,Circle,Still happening,"Redish orange in illumination, appeared to hover, no sound, appears to move slightly, warmer than usual breez",9/22/16,9/19/16,8:47:00,PM,9,19,2016
9/19/16 20:05,Pittsfield,MA,Fireball,7 minutes,"Out for a walk to the store, walking toward the northwest on the south side of town, I first noticed it over the treeline as very red.",9/22/16,9/19/16,8:05:00,PM,9,19,2016
9/19/16 20:00,Madurai (India),IN,Fireball,5 seconds,Mysterious object that moves in zigzag pattern from east to west direction with bright green coloured tail and red coloured tip.,9/30/16,9/19/16,8:00:00,PM,9,19,2016
9/19/16 17:50,Powell,TN,Triangle,1 minute,"Very large ,silent,triangle shaped craft with 1 large bright red light on right wing and smaller pinkish white light on left wing.white",9/22/16,9/19/16,5:50:00,PM,9,19,2016
9/19/16 3:32,San Diego,CA,Triangle,5 minutes,"San Diego, CA 9/19/16 3:32 am I heard noise like a thunder clap and what sounded to be a low flying roar from an aircraft. I walked ou",9/22/16,9/19/16,3:32:00,AM,9,19,2016
9/18/16 21:00,Cherry Creek,,Triangle,10 seconds,Saw a three dots on triangle formation right above the University of Denver. One kid pointed out the object and within 2 seconds of the,9/22/16,9/18/16,9:00:00,PM,9,18,2016
9/18/16 14:34,Fairbanks,AK,Circle,69 seconds,"((HOAX??)) Bright, radiating orb above Littleton.",9/22/16,9/18/16,2:34:00,PM,9,18,2016
9/18/16 10:00,Bensalem,PA,Circle,1 minute,I was walking my dog outside and noticed 2 red lights side by side that looked like red eyes and underneath the 2 red lights was a brig,9/22/16,9/18/16,10:00:00,AM,9,18,2016
9/18/16 8:00,Tulsa,OK,Triangle,8 seconds,"3 flying objects seen, no sound, no lights, crafts flying in a line formation, appeared to be gray-to tan in color, almost invisible ag",10/21/16,9/18/16,8:00:00,AM,9,18,2016
9/18/16 5:30,Hopedale,MA,Circle,1 minute,"Huge super bright yellow circle, (not moon.) Never seen anything so huge bright and still in sky",9/22/16,9/18/16,5:30:00,AM,9,18,2016
9/17/16 23:15,Miami,FL,Fireball,Minutes,My 9 yr. old daughter and I were leaving her friend house we were inside the car when suddenly those flying objects like fire were in t,9/22/16,9/17/16,11:15:00,PM,9,17,2016
9/17/16 22:36,Colton,NY,Fireball,3 minutes,"((NUFORC Note: Adv. Lights? PD)) Bright red lights were close; were doing circles, then suddenly disappeared. ((anonymous report))",9/22/16,9/17/16,10:36:00,PM,9,17,2016
9/17/16 21:00,Danville,IN,Triangle,30 seconds,Me and my family were driving in a car and I noticed 3 lights in a row. The second I saw it I knew something was weird and didn't take,9/22/16,9/17/16,9:00:00,PM,9,17,2016
9/17/16 19:36,Los Alamos,NM,Circle,on going,White glowing circular object in the sky. not moving just sitting there for last hour or more. ((NUFORC Note: Balloon? PD)),9/22/16,9/17/16,7:36:00,PM,9,17,2016
9/17/16 19:00,Ridgway,CO,Triangle,15 minutes,Unidentified flying object near Mt. Sneffels,9/22/16,9/17/16,7:00:00,PM,9,17,2016
9/17/16 10:00,Layton,UT,Triangle,15-20 minutes,Triangle silver object hovering 15-20 min,9/22/16,9/17/16,10:00:00,AM,9,17,2016
9/16/16 21:45,Bowmanville (Canada),ON,Circle,90 seconds,A bright orange light moving from South to North about the size of the moon,9/22/16,9/16/16,9:45:00,PM,9,16,2016
9/16/16 21:00,Sylmar,CA,Triangle,7 seconds,7 small objects appeared as birds then after 3 seconds they form 1 big object then Disappeared into the sky Fast very Fast,9/22/16,9/16/16,9:00:00,PM,9,16,2016
9/16/16 20:00,Bangor,ME,Triangle,2 minutes,Driving down Palm St. I seen a medium sized triangle hovering low above the tree line. The object had 2 red lights flashing on 2 of the,9/22/16,9/16/16,8:00:00,PM,9,16,2016
9/16/16 12:43,Charleston,SC,Triangle,Unknown,Stranger Object Photographed.,10/11/16,9/16/16,12:43:00,PM,9,16,2016
9/16/16 0:00,Grapevine,CA,Triangle,15 minutes,"Black triangle passes directly through stopped cars on California highwayI5 between Bakersfield and Grapevine @0:30ish AM.

 Unexplai",4/20/17,9/16/16,12:00:00,AM,9,16,2016
9/15/16 22:53,Stoughton,MA,Circle,2 minutes,Stationary red circle to the north. After about 1 1/2 minutes began to move rapidly in different directions and then turned white befor,9/22/16,9/15/16,10:53:00,PM,9,15,2016
9/15/16 21:45,Bigfork,MT,Fireball,23 seconds,Comet-like craft moving northeast across sky.,9/22/16,9/15/16,9:45:00,PM,9,15,2016
9/15/16 21:00,Seagrove,FL,Fireball,30 minutes,"The objects were approximately 2 miles off the coast and I'd guess 5,000 feet above the ocean. Two lighted up first next to each other",9/22/16,9/15/16,9:00:00,PM,9,15,2016
9/15/16 20:30,Menifee,CA,Fireball,1 minute,3-4 objects shot across sky (west to east travel). Two red fireballs moving fast. Booms heard after 2nd fireball.,9/22/16,9/15/16,8:30:00,PM,9,15,2016
9/15/16 19:45,Baltimore,MD,Fireball,4 minutes,"3 glowing fireball-type objects with trailing fireball, seen flying at dusk over east Baltimore, MD. ((anonymous report))",9/22/16,9/15/16,7:45:00,PM,9,15,2016
9/15/16 19:00,Smithville,NJ,Triangle,5 minutes,2 triangle shaped flying objects with 3 lights on bottom.,9/22/16,9/15/16,7:00:00,PM,9,15,2016
9/15/16 2:35,Miami,FL,Circle,5 minutes,My husband and I got up to smoke. I opened the living room window and I was looking at the Orion star constellation when I noticed a di,9/15/16,9/15/16,2:35:00,AM,9,15,2016
9/14/16 22:30,Bradenton,FL,Circle,2 minutes,Circular red light with red orbs of light within it.,9/15/16,9/14/16,10:30:00,PM,9,14,2016
9/14/16 1:00,Grapevine,CA,Triangle,2 minutes,3 blue lights..strange engine sound above the 5fwy veered off to land and up. Not normal type of plane. Very very close to cars,9/15/16,9/14/16,1:00:00,AM,9,14,2016
9/13/16 21:30,Wilmington,NC,Circle,22:00,"Five orange-red lights over ocean that kept appearing and then disappearing. Would make a diagonal line, and would be spread out.",9/15/16,9/13/16,9:30:00,PM,9,13,2016
9/13/16 21:30,Lakewood,WA,Fireball,4 minutes,Red fireball/orb in night over Lakewood JBLM 9/13/16,9/15/16,9/13/16,9:30:00,PM,9,13,2016
9/13/16 21:05,Fayetteville,AR,Fireball,30 seconds,Greenish fireball shooting over treetops. ((anonymous report)),9/15/16,9/13/16,9:05:00,PM,9,13,2016
9/13/16 21:00,West Portsmouth,OH,Circle,1 hour,"Green Blue and Red circular craft over West Portsmouth, Ohio right beside cellular tower 50 to 100 yards off the ground.",9/15/16,9/13/16,9:00:00,PM,9,13,2016
9/13/16 20:40,Eugene,OR,Circle,2 minutes,"What at first appeared to be a satellite shoots straight towards me at high speed, then reverses direction back to where it had been.",9/15/16,9/13/16,8:40:00,PM,9,13,2016
9/13/16 20:40,Eugene,OR,Circle,2 minutes,"What at first appeared to be a satellite shoots straight towards me at high speed, then reverses direction back to where it had been.",9/15/16,9/13/16,8:40:00,PM,9,13,2016
9/13/16 20:15,Dixon,MO,Circle,3 minutes,White and red horizontal lights hovering in sky.,9/15/16,9/13/16,8:15:00,PM,9,13,2016
9/13/16 16:00,Hollister,CA,Triangle,3 minutes,Dark Shape Following Interest Airliner.,9/15/16,9/13/16,4:00:00,PM,9,13,2016
9/13/16 12:43,Emerald isl,NC,Circle,10 minutes,"To the north east i seen one orange dot split in to 2 then 3,4,5,6. Happend again.then in the south east did the same thing each lighg",9/15/16,9/13/16,12:43:00,PM,9,13,2016
9/13/16 3:00,Adriatic (Italy/Greece),,Circle,20 minutes,".3 X Cream/white solid circle shape objects moving in different ways very fast in the sky, no noise came from them",9/30/16,9/13/16,3:00:00,AM,9,13,2016
9/12/16 22:00,Brooks,ME,Fireball,~1 minute,"I thought it was a meteor, but it was going across the sky, not downward. Orange, big, quiet, fast. ((anonymous report))",9/15/16,9/12/16,10:00:00,PM,9,12,2016
9/12/16 5:45,Bradenton,FL,Circle,5 minutes,Orange/golden light hovered at orbital level for roughly 3 to 4 minutes. Then took off to the right very quickly then straight up.,9/15/16,9/12/16,5:45:00,AM,9,12,2016
9/12/16 1:00,Colorado Springs,CO,Triangle,15 minutes,I saw a triangle shape object with lights on the points and 1 light in the middle hovered in sky for 15-20 mins. ((anonymous report)),9/15/16,9/12/16,1:00:00,AM,9,12,2016
9/11/16 19:43,Austin,TX,Fireball,10 seconds,"((HOAX??)) Fireball passes overhead, shiny disc appears and lands. ((anonymous report))",9/15/16,9/11/16,7:43:00,PM,9,11,2016
9/11/16 18:00,North Andover,MA,Triangle,30,It came out of the trees.,12/5/16,9/11/16,6:00:00,PM,9,11,2016
9/11/16 7:01,Warren,PA,Circle,3 minutes,Bright circle shape low. Not a plane.was there for about 3 min pulled over it was gone,9/15/16,9/11/16,7:01:00,AM,9,11,2016
9/10/16 21:00,Lima,OH,Fireball,1-2 minutes,"Husband and I and 2 of our children were waiting in line at drive thru restaurant. My 9 yr old said, ""What are those bright lights?""",9/22/16,9/10/16,9:00:00,PM,9,10,2016
9/10/16 19:00,Albany,NY,Circle,2 minutes,"Was brillant lights and shape like cigar and disc, 3 one step for few and flew quik, the others 2 same. ((anonymous report))",9/22/16,9/10/16,7:00:00,PM,9,10,2016
9/10/16 2:45,Pharr,TX,Fireball,2 seconds,Fireball in the sky.,9/15/16,9/10/16,2:45:00,AM,9,10,2016
9/10/16 1:00,Hilton Head,SC,Circle,2 minutes,I went to Savannah airport to pick up my friend for the weekend On our way home we were traveling toward hilton head island on route,9/30/16,9/10/16,1:00:00,AM,9,10,2016
9/10/16 1:00,Jasper (Canada),AB,Fireball,20 minutes,UFO immobile then hovering the town of Jasper to disappear right over our car…,9/30/16,9/10/16,1:00:00,AM,9,10,2016
9/9/16 23:45,Ridley Park,PA,Circle,1 hour,The light was a perfect circle moving in a circular pattern above the clouds.,9/15/16,9/9/16,11:45:00,PM,9,9,2016
