Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian
3/19/18 20:40,Steubenville,OH,Triangle,,"Mother and two young sons witness a large triangular craft, ringed with green and blue lights. ((2nd report))",3/23/18,3/19/18,8:40:00,PM
3/19/18 20:40,Steubenville,OH,Triangle,3-4 minutes,"Triangle shape, blueish-green lights on the perimeter. Flew over Ohio River and made the water move, but no sound. ((1st report))",3/23/18,3/19/18,8:40:00,PM
3/18/18 3:30,Orlando,FL,Triangle,2 minutes,"Long isosceles triangle shaped Jet like flying object seen at irregular visibility pattern as it continued to fly,seen flashy at times.",3/23/18,3/18/18,3:30:00,AM
3/13/18 6:30,Taos,NM,Triangle,10 minutes,"Extremely bright single light changed into three lights in a triangle moving from West to East, very high in the sky.",3/23/18,3/13/18,6:30:00,AM
3/12/18 2:55,Boise,ID,Triangle,~30 seconds,At approximately 02:55 I was standing outside with clear sky when from the South West a triangular object entered my field of view movi,3/23/18,3/12/18,2:55:00,AM
3/10/18 21:00,Centreville,VA,Triangle,<1 minute,Sighting of a semi-triangular formation of lights in the Northern VA sky.,3/23/18,3/10/18,9:00:00,PM
3/7/18 19:11,Camp Hill,PA,Triangle,2 minutes,"Sitting on Rte. 15, saw the triangle-shaped object with lights on the corners across Rte. 581. ((anonymous report))",3/8/18,3/7/18,7:11:00,PM
3/6/18 2:34,Winchester,VA,Triangle,30 minutes,((HOAX?)) Bunch of red light triangles appeared soon after a high pitch noise w/ the arrival of a blue light ship then all disappeared.,3/8/18,3/6/18,2:34:00,AM
3/3/18 21:30,Kent,WA,Triangle,30 minutes +,"Looked up into the sky to see a red blinking light hovering over what seemed to be Auburn, WA. ((NUFORC Note: Sirius?? PD))",3/8/18,3/3/18,9:30:00,PM
3/2/18 20:30,Windber,PA,Triangle,20 seconds,"((HOAX??)) Triangle craft, yellow blue lights, makes eyes water. near johnstown pa",3/8/18,3/2/18,8:30:00,PM
2/27/18 21:30,State College,PA,Triangle,~30-45 seconds,"Large, transparent triangle moving southwest to northeast across the night sky.",3/2/18,2/27/18,9:30:00,PM
2/27/18 19:00,Chicago,IL,Triangle,1 minute,Triangle shape lights over Chicago.,3/2/18,2/27/18,7:00:00,PM
2/27/18 19:00,Villa Rica,GA,Triangle,>1 hour,"5 triangular air craft flying back and forth over the I-20, making 2 formations.",3/2/18,2/27/18,7:00:00,PM
2/25/18 21:41,Mulberry,IN,Triangle,,A low hovering triangular shaped craft with 3 non blinking lights . Craft was directly over a house not moving and it was low enough th,3/2/18,2/25/18,9:41:00,PM
2/25/18 18:00,Underwood,IN,Triangle,2 minutes,We were heading south on Hwy 31 when I spotted three bright white lights with almost a greenish tint that appeared triangular in shape.,3/2/18,2/25/18,6:00:00,PM
2/24/18 15:00,Virginia Beach,VA,Triangle,2 hours,Objects darted around as if they were playing tag. I shined my light at several of the objects. ((anonymous report)),3/2/18,2/24/18,3:00:00,PM
2/23/18 18:45,Wenatchee,WA,Triangle,3-4 minutes,Massive white light triangles floating over Wenatchee Valley from E to W.,3/2/18,2/23/18,6:45:00,PM
2/21/18 23:50,Virginia Beach,VA,Triangle,10 minutes,"Triangle dark airship being escorted, 10 minute duration.",2/22/18,2/21/18,11:50:00,PM
2/17/18 22:15,Bordeaux (France),,Triangle,10 seconds,Dark triangle.,2/22/18,2/17/18,10:15:00,PM
2/13/18 20:39,McPherson,KS,Triangle,3 minutes,4 bright lights at perfect sequence two different times in 2 different locations. It was dark.,2/16/18,2/13/18,8:39:00,PM
2/13/18 20:30,Oak Harbor,WA,Triangle,5 minutes,"No noise, very low flying, and a triangular shape.",2/16/18,2/13/18,8:30:00,PM
2/11/18 3:00,Wood Ranch,CA,Triangle,Few seconds,"A light crash landed east of I-5 near Firebaugh, CA, around 3am on Monday,",2/16/18,2/11/18,3:00:00,AM
2/10/18 23:30,Virginia Beach,VA,Triangle,?,"Blue orb, white triangle with looks to be imbedded faces in video screen shot. ((NUFORC Note: Possible lens flare?? PD))",3/8/18,2/10/18,11:30:00,PM
2/10/18 12:30,Tunwater,WA,Triangle,10 seconds,I woke up and looked out the window to see a triangle shape with rotating spheres at the acute angles of the triangle shape traveling a,2/16/18,2/10/18,12:30:00,PM
2/9/18 0:00,Fredon,NJ,Triangle,1 hour,Resting in bed before falling asleep. Saw strange very bright light in tree line. Kept watching. It the ascended straight up seeming.,2/16/18,2/9/18,12:00:00,AM
2/8/18 20:35,Mena,AR,Triangle,5 seconds,"Near Mena, AR, triangular shape object blocking starlight",2/16/18,2/8/18,8:35:00,PM
2/8/18 20:30,Mena,AR,Triangle,30 minutes,"Near Mena, Arkansas, dark triangular object in night sky with 3 lights",2/16/18,2/8/18,8:30:00,PM
2/8/18 18:30,Bolton,MA,Triangle,1 minute,Black Triangle spotted above highway 495. Nearly identical to the Belgian UFO photo from the 90's.,2/16/18,2/8/18,6:30:00,PM
2/6/18 19:00,Lake Worth,FL,Triangle,15 seconds,"Large Triangle Craft with Lights flying estimated 45,000ft Altitude. Speed. estimated 2,000 mph. Size estimated size of a football fiel",2/16/18,2/6/18,7:00:00,PM
